application_name,package_name,current_version,original_version,year,source,activities,min_sdk,target_sdk,num_features,features,num_permissions,permissions
autoanswer, com.everysoft.autoanswer,1.5,1.5,2012,F-Droid,1,6,6,3,android.hardware.bluetooth implied: requested android.permission.BLUETOOTH permission and targetSdkVersion > 4; android.hardware.telephony implied: requested a telephony permission; android.hardware.faketouch implied: default feature for all apps,7,android.permission.READ_CONTACTS; android.permission.MODIFY_PHONE_STATE; android.permission.READ_CALL_LOG; android.permission.MODIFY_AUDIO_SETTINGS; android.permission.BLUETOOTH; android.permission.RECEIVE_BOOT_COMPLETED; android.permission.READ_PHONE_STATE
batterydog, net.sf.andbatdog.batterydog, 0.1.1, 0.1.1,2011,F-Droid,2,3,3,1,android.hardware.faketouch implied: default feature for all apps,3,android.permission.READ_EXTERNAL_STORAGE; android.permission.WRITE_EXTERNAL_STORAGE; android.permission.READ_PHONE_STATE
Bites, caldwell.ben.bites,1.3,1.3,2012,F-Droid,5,3,3,2,android.hardware.telephony implied: requested a telephony permission; android.hardware.faketouch implied: default feature for all apps,5,android.permission.RECEIVE_SMS; android.permission.SEND_SMS; android.permission.READ_EXTERNAL_STORAGE; android.permission.WRITE_EXTERNAL_STORAGE; android.permission.READ_PHONE_STATE
blokish, org.scoutant.blokish,3.4,2,2021,F-Droid,3,24,29,2,android.hardware.touchscreen; android.hardware.screen.portrait,1,android.permission.VIBRATE
bomber, org.beide.bomber,1,1,2012,Github,2,1,1,1,android.hardware.faketouch implied: default feature for all apps,3,android.permission.READ_EXTERNAL_STORAGE; android.permission.WRITE_EXTERNAL_STORAGE; android.permission.READ_PHONE_STATE
DalvikExplorer, org.jessies.dalvikexplorer,3.9,3.4,2014,F-Droid,16,4,19,0,,0,
dialer2, org.dnaq.dialer2,2.9,2.9,2012,F-Droid,5,7,7,2,android.hardware.telephony implied: requested a telephony permission; android.hardware.faketouch implied: default feature for all apps,8,android.permission.READ_CONTACTS; android.permission.CALL_PHONE; android.permission.MODIFY_PHONE_STATE; android.permission.CALL_PRIVILEGED; android.permission.READ_CALL_LOG; android.permission.WRITE_CALL_LOG; android.permission.VIBRATE; android.permission.WRITE_CONTACTS
DivideAndConquer, com.google.android.divideandconquer,1.4,1.4,2017,Github,3,1,1,2,android.hardware.screen.portrait implied: one or more activities have specified a portrait orientation; android.hardware.faketouch implied: default feature for all apps,4,android.permission.VIBRATE; android.permission.READ_EXTERNAL_STORAGE; android.permission.WRITE_EXTERNAL_STORAGE; android.permission.READ_PHONE_STATE
fileexplorer, edu.killerud.fileexplorer,1,1,2012,Github,1,7,N/A,0,,0,
gestures, demo.killerud.gestures,1,1,2012,Github,1,8,N/A,0,,0,
HNdroid, com.gluegadget.hndroid,0.4.2,0.2.1,2011,F-Droid,5,4,N/A,0,,1,android.permission.INTERNET
hotdeath, com.smorgasbork.hotdeath, 1.0.11,1.0.7,2022,F-Droid,3,17,28,1,android.hardware.faketouch implied: default feature for all apps,1,android.permission.VIBRATE
importcontacts, org.waxworlds.edam.importcontacts,1.1,1.1,2014,F-Droid,4,3,3,1,android.hardware.faketouch implied: default feature for all apps,7,android.permission.READ_CONTACTS; android.permission.READ_CALL_LOG; android.permission.WRITE_CALL_LOG; android.permission.WRITE_CONTACTS; android.permission.READ_EXTERNAL_STORAGE; android.permission.WRITE_EXTERNAL_STORAGE; android.permission.READ_PHONE_STATE
jamendo, com.teleca.jamendo,1.0.7,1.0.6,2012,Github,14,9,10,3,android.hardware.microphone implied: requested android.permission.RECORD_AUDIO permission; android.hardware.wifi implied: requested android.permission.ACCESS_WIFI_STATE permission; android.hardware.faketouch implied: default feature for all apps,8,android.permission.INTERNET; android.permission.WAKE_LOCK; android.permission.ACCESS_WIFI_STATE; android.permission.MODIFY_AUDIO_SETTINGS; android.permission.RECORD_AUDIO; android.permission.READ_EXTERNAL_STORAGE; android.permission.READ_PHONE_STATE; android.permission.WRITE_EXTERNAL_STORAGE
LNM, net.fercanet.LNM,1.4,1.2,2013,F-Droid,4,3,3,2,android.hardware.screen.portrait implied: one or more activities have specified a portrait orientation; android.hardware.faketouch implied: default feature for all apps,4,android.permission.VIBRATE; android.permission.READ_EXTERNAL_STORAGE; android.permission.WRITE_EXTERNAL_STORAGE; android.permission.READ_PHONE_STATE
manpages, com.chmod0.manpages,1.7,1.7,2015,Github,2,4,4,1,android.hardware.faketouch implied: default feature for all apps,4,android.permission.INTERNET; android.permission.ACCESS_NETWORK_STATE; android.permission.READ_EXTERNAL_STORAGE; android.permission.WRITE_EXTERNAL_STORAGE
mileage, com.evancharlton.mileage, 3.1.1, 3.1.1,2012,F-Droid,50,4,10,3,android.hardware.location.network implied: requested android.permission.ACCESS_COARSE_LOCATION permission and targetSdkVersion < 21; android.hardware.location implied: requested android.permission.ACCESS_COARSE_LOCATION permission; android.hardware.faketouch implied: default feature for all apps,4,android.permission.ACCESS_COARSE_LOCATION; android.permission.VIBRATE; android.permission.READ_EXTERNAL_STORAGE; android.permission.WRITE_EXTERNAL_STORAGE
mnv, jp.gr.java_conf.hatalab.mnv,0.4,0.4,2012,F-Droid,8,4,4,1,android.hardware.faketouch implied: default feature for all apps,2,android.permission.READ_EXTERNAL_STORAGE; android.permission.WRITE_EXTERNAL_STORAGE
MultiSmsSender, com.hectorone.multismssender,2.8,2.3,2016,F-Droid,6,5,5,2,android.hardware.telephony implied: requested a telephony permission; android.hardware.faketouch implied: default feature for all apps,7,android.permission.SEND_SMS; android.permission.RECEIVE_SMS; android.permission.READ_CONTACTS; android.permission.WRITE_SMS; android.permission.READ_SMS; android.permission.READ_CALL_LOG; android.permission.READ_PHONE_STATE
MunchLife, info.bpace.munchlife,1.4.4,1.4.2,2014,Github,2,8,19,1,android.hardware.faketouch implied: default feature for all apps,1,android.permission.WAKE_LOCK
Nectroid, com.kvance.Nectroid,1.2.4,1.2.4,2012,Github,6,3,4,1,android.hardware.faketouch implied: default feature for all apps,3,android.permission.INTERNET; android.permission.ACCESS_NETWORK_STATE; android.permission.WAKE_LOCK
netcounter, net.jaqpot.netcounter, 0.14.1, 0.14.1,2014,F-Droid,3,3,4,2,android.hardware.wifi implied: requested android.permission.ACCESS_WIFI_STATE permission; android.hardware.faketouch implied: default feature for all apps,5,android.permission.WAKE_LOCK; android.permission.ACCESS_WIFI_STATE; android.permission.RECEIVE_BOOT_COMPLETED; android.permission.READ_EXTERNAL_STORAGE; android.permission.WRITE_EXTERNAL_STORAGE
Photostream, com.google.android.photostream,1.1,1.1,2012,Google Code Archives,4,1,1,1,android.hardware.faketouch implied: default feature for all apps,7,android.permission.INTERNET; android.permission.VIBRATE; android.permission.SET_WALLPAPER; android.permission.RECEIVE_BOOT_COMPLETED; android.permission.READ_EXTERNAL_STORAGE; android.permission.WRITE_EXTERNAL_STORAGE; android.permission.READ_PHONE_STATE
quicksettings, com.bwx.bequick,1.9.9.3,1.9.9.3,2011,Github,11,4,4,3,android.hardware.screen.portrait implied: one or more activities have specified a portrait orientation; android.hardware.wifi implied: requested android.permission.ACCESS_WIFI_STATE permission and android.permission.CHANGE_WIFI_STATE permission; android.hardware.faketouch implied: default feature for all apps,22,android.permission.WRITE_APN_SETTINGS; android.permission.READ_SYNC_SETTINGS; android.permission.GET_ACCOUNTS; android.permission.FLASHLIGHT; android.permission.MODIFY_PHONE_STATE; android.permission.ACCESS_WIMAX_STATE; android.permission.BLUETOOTH_ADMIN; android.permission.VIBRATE; android.permission.RECEIVE_BOOT_COMPLETED; android.permission.WRITE_SYNC_SETTINGS; android.permission.CHANGE_WIMAX_STATE; android.permission.ACCESS_FINE_LOCATION; android.permission.CHANGE_WIFI_STATE; android.permission.HARDWARE_TEST; android.permission.ACCESS_NETWORK_STATE; android.permission.READ_SECURE_SETTINGS; android.permission.WAKE_LOCK; android.permission.WRITE_SECURE_SETTINGS; android.permission.ACCESS_WIFI_STATE; android.permission.CAMERA; android.permission.BLUETOOTH; android.permission.WRITE_SETTINGS
RandomMusicPlayer, com.example.android.musicplayer,1,1,2014,Google Code Archives,1,7,14,0,,2,android.permission.INTERNET; android.permission.WAKE_LOCK
ringdroid, com.ringdroid, 2.7.4,2.6,2017,F-Droid,5,16,22,2,android.hardware.microphone implied: requested android.permission.RECORD_AUDIO permission; android.hardware.faketouch implied: default feature for all apps,6,android.permission.READ_CONTACTS; android.permission.WRITE_CONTACTS; android.permission.RECORD_AUDIO; android.permission.READ_EXTERNAL_STORAGE; android.permission.WRITE_SETTINGS; android.permission.WRITE_EXTERNAL_STORAGE
sanity, cri.sanity,2.11,2.11,2012,F-Droid,28,5,5,7,android.hardware.location.gps implied: requested android.permission.ACCESS_FINE_LOCATION permission and targetSdkVersion < 21; android.hardware.bluetooth implied: requested android.permission.BLUETOOTH permission and android.permission.BLUETOOTH_ADMIN permission and targetSdkVersion > 4; android.hardware.microphone implied: requested android.permission.RECORD_AUDIO permission; android.hardware.telephony implied: requested a telephony permission; android.hardware.location implied: requested android.permission.ACCESS_FINE_LOCATION permission; android.hardware.wifi implied: requested android.permission.ACCESS_WIFI_STATE permission and android.permission.CHANGE_WIFI_STATE permission; android.hardware.faketouch implied: default feature for all apps,25,android.permission.READ_CONTACTS; android.permission.READ_LOGS; android.permission.CALL_PHONE; android.permission.GET_ACCOUNTS; android.permission.MODIFY_PHONE_STATE; android.permission.BLUETOOTH_ADMIN; android.permission.RECEIVE_BOOT_COMPLETED; android.permission.WRITE_EXTERNAL_STORAGE; android.permission.ACCESS_FINE_LOCATION; android.permission.ACCESS_NETWORK_STATE; android.permission.PROCESS_OUTGOING_CALLS; android.permission.WAKE_LOCK; android.permission.ACCESS_WIFI_STATE; android.permission.RECEIVE_SMS; android.permission.DISABLE_KEYGUARD; android.permission.VIBRATE; android.permission.RECORD_AUDIO; android.permission.CHANGE_WIFI_STATE; android.permission.READ_CALL_LOG; android.permission.CHANGE_NETWORK_STATE; android.permission.MODIFY_AUDIO_SETTINGS; android.permission.BLUETOOTH; android.permission.READ_EXTERNAL_STORAGE; android.permission.READ_PHONE_STATE; android.permission.WRITE_SETTINGS
soundboard, hiof.enigma.android.soundboard,1,1,2012,Github,1,7,,0,,0,
SpriteMethodTest, com.android.spritemethodtest,1,1,2015,Github,3,3,4,0,,0,
SpriteText, com.google.android.opengles.spritetext,1,1,2008,Google Code Archives,1,N/A,N/A,0,,0,
swiftp, org.swiftp,N/A,2.2,2017,Github,2,3,3,2,android.hardware.wifi implied: requested android.permission.ACCESS_WIFI_STATE permission and android.permission.CHANGE_WIFI_STATE permission; android.hardware.faketouch implied: default feature for all apps,7,android.permission.CHANGE_WIFI_STATE; android.permission.INTERNET; android.permission.WAKE_LOCK; android.permission.ACCESS_WIFI_STATE; android.permission.READ_EXTERNAL_STORAGE; android.permission.READ_PHONE_STATE; android.permission.WRITE_EXTERNAL_STORAGE
SyncMyPix, com.nloko.android.syncmypix,0.16,0.15,2012,Github,7,8,14,0,,7,android.permission.INTERNET; android.permission.READ_CONTACTS; android.permission.WRITE_CONTACTS; android.permission.RECEIVE_BOOT_COMPLETED; android.permission.ACCESS_NETWORK_STATE; android.permission.WAKE_LOCK; android.permission.WRITE_EXTERNAL_STORAGE
triangle, com.google.android.opengles.triangle,1,1,2007,Google Code Archives,1,N/A,N/A,0,,0,
weightchart, es.senselesssolutions.gpl.weightchart,1.0.4,1.0.4,2015,Github,5,3,3,2,android.hardware.screen.landscape implied: one or more activities have specified a landscape orientation; android.hardware.faketouch implied: default feature for all apps,3,android.permission.READ_EXTERNAL_STORAGE; android.permission.WRITE_EXTERNAL_STORAGE; android.permission.READ_PHONE_STATE
worldclock, com.irahul.worldclock,0.6,0.6,2012,F-Droid,2,10,10,1,android.hardware.faketouch implied: default feature for all apps,0,
Yahtzee, com.tum.yahtzee,1.1,1,2014,F-Droid,2,10,20,1,android.hardware.faketouch implied: default feature for all apps,0,
zooborns, org.smerty.zooborns,1.4.4,1.4.4,2011,F-Droid,2,7,13,0,,5,android.permission.INTERNET; android.permission.SET_WALLPAPER; android.permission.RECEIVE_BOOT_COMPLETED; android.permission.READ_EXTERNAL_STORAGE; android.permission.WRITE_EXTERNAL_STORAGE
